week,function,dimensions,observation_count,query,submission_query,predicted_mean,predictive_std,ucb_score,kernel,candidate_count,kappa,random_seed,duplicate_at_6dp,status
13,1,2,21,"[0.997914,0.748997]",0.997914-0.748997,0.0003154466412814426,0.00028435016427503216,0.00034388165770894583,"1.22**2 * Matern(length_scale=[2, 0.0498], nu=2.5) + WhiteKernel(noise_level=1e-10)",20000,0.1,4201,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,2,2,21,"[0.692504,0.619197]",0.692504-0.619197,0.623212953367297,0.048198509896123204,0.6280328043569093,"0.995**2 * Matern(length_scale=[0.0444, 2], nu=2.5) + WhiteKernel(noise_level=0.01)",20000,0.1,4202,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,3,3,26,"[0.737864,0.713915,0.373523]",0.737864-0.713915-0.373523,-0.023233332638906326,0.041326881422783034,-0.019100644496628023,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",20000,0.1,4203,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,4,4,41,"[0.370439,0.382408,0.425132,0.390887]",0.370439-0.382408-0.425132-0.390887,-1.3525659130832839,0.5448668117833719,-1.2980792319049468,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",20000,0.1,4204,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,5,4,31,"[0.09922,0.956522,0.978677,0.993261]",0.099220-0.956522-0.978677-0.993261,1831.1348367012977,165.074216846251,1847.6422583859228,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",20000,0.1,4205,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,6,5,31,"[0.542093,0.205654,0.578843,0.946831,0.036709]",0.542093-0.205654-0.578843-0.946831-0.036709,-0.47808087568747304,0.1396624163563535,-0.46411463405183767,"2.17**2 * Matern(length_scale=[1.15, 0.81, 1.12, 1.9, 2], nu=2.5) + WhiteKernel(noise_level=0.00122)",20000,0.1,4206,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,7,6,41,"[0.108716,0.301228,0.470084,0.22803,0.331783,0.836497]",0.108716-0.301228-0.470084-0.228030-0.331783-0.836497,2.1004456574888284,0.11319193099008601,2.111764850587837,"0.91**2 * Matern(length_scale=[0.644, 0.468, 1.29, 0.391, 0.292, 0.722], nu=2.5) + WhiteKernel(noise_level=1e-10)",20000,0.1,4207,False,validated_proposal_only_week_12_and_13_returns_unavailable
13,8,8,51,"[0.123374,0.09797,0.065526,0.059094,0.757316,0.290599,0.242285,0.654268]",0.123374-0.097970-0.065526-0.059094-0.757316-0.290599-0.242285-0.654268,9.949808112654114,0.12393410723826656,9.96220152337794,"0.995**2 * Matern(length_scale=[1.24, 2, 1.01, 2, 2, 2, 1.28, 2], nu=2.5) + WhiteKernel(noise_level=1e-10)",20000,0.1,4208,False,validated_proposal_only_week_12_and_13_returns_unavailable
