function,dimensions,observation_count,optimizer_restarts,random_seed,convergence_warning_count,constant_value,length_scales,min_length_scale,max_length_scale,noise_level,constant_bound_status,length_scale_bound_status,length_scales_at_lower_bound,length_scales_at_upper_bound,noise_bound_status,any_parameter_at_bound,fitted_kernel
1,2,23,3,4201,1,1.3786166323805562,"[2.0,0.04455072508641234]",0.04455072508641234,2.0,1.2708637236858418e-10,none,"[""upper"",""none""]",0,1,none,True,"1.17**2 * Matern(length_scale=[2, 0.0446], nu=2.5) + WhiteKernel(noise_level=1.27e-10)"
2,2,23,3,4202,2,0.6786875389160285,"[0.04689208827843795,2.0]",0.04689208827843795,2.0,0.010000000000000005,none,"[""none"",""upper""]",0,1,upper,True,"0.824**2 * Matern(length_scale=[0.0469, 2], nu=2.5) + WhiteKernel(noise_level=0.01)"
3,3,28,3,4203,1,1.9008019142425903,"[2.0,1.8118948723805384,0.07871549206144186]",0.07871549206144186,2.0,0.002185433949037727,none,"[""upper"",""none"",""none""]",0,1,none,True,"1.38**2 * Matern(length_scale=[2, 1.81, 0.0787], nu=2.5) + WhiteKernel(noise_level=0.00219)"
4,4,43,3,4204,0,15.442587051299128,"[1.8461474761679917,1.8608394549975118,1.892266649125917,1.9061126055487174]",1.8461474761679917,1.9061126055487174,0.002038831388371671,none,"[""none"",""none"",""none"",""none""]",0,0,none,False,"3.93**2 * Matern(length_scale=[1.85, 1.86, 1.89, 1.91], nu=2.5) + WhiteKernel(noise_level=0.00204)"
5,4,33,3,4205,7,2.757504863553206,"[2.0,0.36822751354945116,0.9152497252036473,2.0]",0.36822751354945116,2.0,9.999999999999996e-11,none,"[""upper"",""none"",""none"",""upper""]",0,2,lower,True,"1.66**2 * Matern(length_scale=[2, 0.368, 0.915, 2], nu=2.5) + WhiteKernel(noise_level=1e-10)"
6,5,33,3,4206,1,4.370918100102597,"[1.3310717578526705,0.8741969544465577,1.174067627404588,1.796594328565372,2.0]",0.8741969544465577,2.0,0.0011262349546654205,none,"[""none"",""none"",""none"",""none"",""upper""]",0,1,none,True,"2.09**2 * Matern(length_scale=[1.33, 0.874, 1.17, 1.8, 2], nu=2.5) + WhiteKernel(noise_level=0.00113)"
7,6,43,3,4207,0,0.635059501885868,"[0.6858384115676833,0.4427759599053018,1.0720076321267502,0.41193758378038947,0.30721592511768914,0.7892190412894765]",0.30721592511768914,1.0720076321267502,1.0556221222543869e-10,none,"[""none"",""none"",""none"",""none"",""none"",""none""]",0,0,none,False,"0.797**2 * Matern(length_scale=[0.686, 0.443, 1.07, 0.412, 0.307, 0.789], nu=2.5) + WhiteKernel(noise_level=1.06e-10)"
8,8,53,3,4208,6,0.9262078514128338,"[1.2450415761415656,2.0,1.0157341933918982,2.0,2.0,2.0,1.3091595939021525,2.0]",1.0157341933918982,2.0,9.999999999999996e-11,none,"[""none"",""upper"",""none"",""upper"",""upper"",""upper"",""none"",""upper""]",0,5,lower,True,"0.962**2 * Matern(length_scale=[1.25, 2, 1.02, 2, 2, 2, 1.31, 2], nu=2.5) + WhiteKernel(noise_level=1e-10)"
