path,extension,bytes,mib,status
Results/archive/bbo_query_ledger_kappa_2.0.csv,.csv,2563,0.002444,pass
Week_08/Function_05/04_Results/observations.csv,.csv,2561,0.002442,pass
Week_07/Function_05/04_Results/observations.csv,.csv,2524,0.002407,pass
Week_06/Function_05/04_Results/observations.csv,.csv,2458,0.002344,pass
Week_05/Function_05/04_Results/observations.csv,.csv,2391,0.00228,pass
Week_04/Function_05/04_Results/observations.csv,.csv,2354,0.002245,pass
Week_01/Function_05/04_Results/observations.csv,.csv,2353,0.002244,pass
Week_03/Function_05/04_Results/observations.csv,.csv,2287,0.002181,pass
Week_02/Function_05/04_Results/observations.csv,.csv,2221,0.002118,pass
Week_13/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,2144,0.002045,pass
Week_12/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,2096,0.001999,pass
Week_13/Function_03/04_Results/observations.csv,.csv,2088,0.001991,pass
Week_11/Function_07/03_Data/function_7_inputs.npy,.npy,2048,0.001953,pass
Week_11/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,2048,0.001953,pass
Week_12/Function_03/04_Results/observations.csv,.csv,2027,0.001933,pass
Week_10/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,2000,0.001907,pass
Week_11/Function_03/04_Results/observations.csv,.csv,1966,0.001875,pass
Results/gp_validation_metrics.csv,.csv,1964,0.001873,pass
Week_09/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1952,0.001862,pass
Week_10/Function_03/04_Results/observations.csv,.csv,1908,0.00182,pass
Week_08/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1904,0.001816,pass
Week_07/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1856,0.00177,pass
Week_09/Function_03/04_Results/observations.csv,.csv,1848,0.001762,pass
Week_06/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1808,0.001724,pass
Week_08/Function_03/04_Results/observations.csv,.csv,1788,0.001705,pass
Results/bbo_query_kappa_comparison.csv,.csv,1767,0.001685,pass
Week_05/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1760,0.001678,pass
Week_07/Function_03/04_Results/observations.csv,.csv,1728,0.001648,pass
Week_04/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1712,0.001633,pass
Week_06/Function_03/04_Results/observations.csv,.csv,1668,0.001591,pass
Week_03/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1664,0.001587,pass
Week_01/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1616,0.001541,pass
Week_02/Function_07/03_Data/verified_cumulative_inputs.npy,.npy,1616,0.001541,pass
Week_05/Function_03/04_Results/observations.csv,.csv,1608,0.001534,pass
Week_01/Function_03/04_Results/observations.csv,.csv,1576,0.001503,pass
Week_01/Function_07/03_Data/initial_inputs.npy,.npy,1568,0.001495,pass
Week_04/Function_03/04_Results/observations.csv,.csv,1548,0.001476,pass
Week_03/Function_03/04_Results/observations.csv,.csv,1488,0.001419,pass
Week_13/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1472,0.001404,pass
Week_12/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1440,0.001373,pass
Week_02/Function_03/04_Results/observations.csv,.csv,1428,0.001362,pass
Week_13/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1408,0.001343,pass
Week_11/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1408,0.001343,pass
Week_11/Function_04/03_Data/function_4_inputs.npy,.npy,1408,0.001343,pass
Week_13/Function_01/04_Results/observations.csv,.csv,1388,0.001324,pass
Week_10/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1376,0.001312,pass
Week_12/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1368,0.001305,pass
Week_09/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1344,0.001282,pass
Week_12/Function_01/04_Results/observations.csv,.csv,1334,0.001272,pass
Week_11/Function_06/03_Data/function_6_inputs.npy,.npy,1328,0.001266,pass
Week_11/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1328,0.001266,pass
Week_13/Function_02/04_Results/observations.csv,.csv,1317,0.001256,pass
Week_08/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1312,0.001251,pass
Week_10/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1288,0.001228,pass
Week_11/Function_01/04_Results/observations.csv,.csv,1281,0.001222,pass
Week_07/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1280,0.001221,pass
Week_12/Function_02/04_Results/observations.csv,.csv,1268,0.001209,pass
Week_06/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1248,0.00119,pass
Week_09/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1248,0.00119,pass
Week_10/Function_01/04_Results/observations.csv,.csv,1227,0.00117,pass
Week_11/Function_02/04_Results/observations.csv,.csv,1218,0.001162,pass
Week_05/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1216,0.00116,pass
Week_08/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1208,0.001152,pass
Week_04/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1184,0.001129,pass
Week_09/Function_01/04_Results/observations.csv,.csv,1175,0.001121,pass
Week_10/Function_02/04_Results/observations.csv,.csv,1169,0.001115,pass
Week_07/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1168,0.001114,pass
Week_13/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,1152,0.001099,pass
Week_03/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1152,0.001099,pass
Week_06/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1128,0.001076,pass
Week_08/Function_01/04_Results/observations.csv,.csv,1121,0.001069,pass
Week_01/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1120,0.001068,pass
Week_12/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,1120,0.001068,pass
Week_02/Function_04/03_Data/verified_cumulative_inputs.npy,.npy,1120,0.001068,pass
Week_09/Function_02/04_Results/observations.csv,.csv,1118,0.001066,pass
Week_01/Function_04/03_Data/initial_inputs.npy,.npy,1088,0.001038,pass
Week_05/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1088,0.001038,pass
Week_11/Function_05/03_Data/function_5_inputs.npy,.npy,1088,0.001038,pass
Week_11/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,1088,0.001038,pass
Week_08/Function_02/04_Results/observations.csv,.csv,1068,0.001019,pass
Week_07/Function_01/04_Results/observations.csv,.csv,1068,0.001019,pass
Week_10/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,1056,0.001007,pass
Week_04/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1048,0.000999,pass
Week_09/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,1024,0.000977,pass
Week_07/Function_02/04_Results/observations.csv,.csv,1018,0.000971,pass
Week_06/Function_01/04_Results/observations.csv,.csv,1015,0.000968,pass
Week_03/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,1008,0.000961,pass
Week_08/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,992,0.000946,pass
Week_01/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,968,0.000923,pass
Week_06/Function_02/04_Results/observations.csv,.csv,968,0.000923,pass
Week_02/Function_06/03_Data/verified_cumulative_inputs.npy,.npy,968,0.000923,pass
Week_05/Function_01/04_Results/observations.csv,.csv,961,0.000916,pass
Week_07/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,960,0.000916,pass
Week_01/Function_06/03_Data/initial_inputs.npy,.npy,928,0.000885,pass
Week_06/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,928,0.000885,pass
Week_05/Function_02/04_Results/observations.csv,.csv,918,0.000875,pass
Week_04/Function_01/04_Results/observations.csv,.csv,906,0.000864,pass
Week_05/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,896,0.000854,pass
Week_01/Function_01/04_Results/observations.csv,.csv,890,0.000849,pass
Week_04/Function_02/04_Results/observations.csv,.csv,867,0.000827,pass
Week_04/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,864,0.000824,pass
Week_03/Function_01/04_Results/observations.csv,.csv,852,0.000813,pass
Week_03/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,832,0.000793,pass
Week_01/Function_02/04_Results/observations.csv,.csv,830,0.000792,pass
Week_03/Function_02/04_Results/observations.csv,.csv,820,0.000782,pass
Week_01/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,800,0.000763,pass
Week_02/Function_01/04_Results/observations.csv,.csv,800,0.000763,pass
Week_02/Function_05/03_Data/verified_cumulative_inputs.npy,.npy,800,0.000763,pass
Week_13/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,776,0.00074,pass
Week_02/Function_02/04_Results/observations.csv,.csv,769,0.000733,pass
Week_01/Function_05/03_Data/initial_inputs.npy,.npy,768,0.000732,pass
Week_12/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,752,0.000717,pass
Week_11/Function_03/03_Data/function_3_inputs.npy,.npy,728,0.000694,pass
Week_11/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,728,0.000694,pass
Week_10/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,704,0.000671,pass
Week_09/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,680,0.000648,pass
Week_08/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,656,0.000626,pass
Week_07/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,632,0.000603,pass
Week_06/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,608,0.00058,pass
Week_05/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,584,0.000557,pass
Week_04/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,560,0.000534,pass
Week_13/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,544,0.000519,pass
Week_12/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,536,0.000511,pass
Week_03/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,536,0.000511,pass
Week_11/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,528,0.000504,pass
Week_10/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,520,0.000496,pass
Week_11/Function_08/03_Data/function_8_outputs.npy,.npy,520,0.000496,pass
Week_01/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,512,0.000488,pass
Week_09/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,512,0.000488,pass
Week_02/Function_03/03_Data/verified_cumulative_inputs.npy,.npy,512,0.000488,pass
Week_08/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,504,0.000481,pass
Week_07/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,496,0.000473,pass
Week_01/Function_03/03_Data/initial_inputs.npy,.npy,488,0.000465,pass
Week_06/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,488,0.000465,pass
Week_13/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,480,0.000458,pass
Week_13/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,480,0.000458,pass
Week_05/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,480,0.000458,pass
Week_04/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,472,0.00045,pass
Week_13/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,464,0.000443,pass
Week_13/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,464,0.000443,pass
Week_12/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,464,0.000443,pass
Week_12/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,464,0.000443,pass
Week_03/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,464,0.000443,pass
Week_01/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,456,0.000435,pass
Week_12/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,456,0.000435,pass
Week_12/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,456,0.000435,pass
Week_02/Function_08/03_Data/verified_cumulative_outputs.npy,.npy,456,0.000435,pass
Week_01/Function_08/03_Data/initial_outputs.npy,.npy,448,0.000427,pass
Week_11/Function_07/03_Data/function_7_outputs.npy,.npy,448,0.000427,pass
Week_11/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,448,0.000427,pass
Week_11/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,448,0.000427,pass
Week_11/Function_01/03_Data/function_1_inputs.npy,.npy,448,0.000427,pass
Week_11/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,448,0.000427,pass
Week_11/Function_04/03_Data/function_4_outputs.npy,.npy,448,0.000427,pass
Week_11/Function_02/03_Data/function_2_inputs.npy,.npy,448,0.000427,pass
Week_11/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,448,0.000427,pass
Week_10/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,440,0.00042,pass
Week_10/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,440,0.00042,pass
Week_09/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,432,0.000412,pass
Week_09/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,432,0.000412,pass
Week_10/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,432,0.000412,pass
Week_10/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,432,0.000412,pass
Week_08/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,424,0.000404,pass
Week_08/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,424,0.000404,pass
Week_09/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,416,0.000397,pass
Week_09/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,416,0.000397,pass
Week_07/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,416,0.000397,pass
Week_07/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,416,0.000397,pass
Week_06/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,408,0.000389,pass
Week_06/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,408,0.000389,pass
Week_08/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,400,0.000381,pass
Week_08/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,400,0.000381,pass
Week_05/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,400,0.000381,pass
Week_05/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,400,0.000381,pass
Week_04/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,392,0.000374,pass
Week_04/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,392,0.000374,pass
Week_07/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,384,0.000366,pass
Week_07/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,384,0.000366,pass
Week_13/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,384,0.000366,pass
Week_13/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,384,0.000366,pass
Week_03/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,384,0.000366,pass
Week_03/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,384,0.000366,pass
Week_01/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_01/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_12/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_12/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_02/Function_07/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_02/Function_04/03_Data/verified_cumulative_outputs.npy,.npy,376,0.000359,pass
Week_01/Function_07/03_Data/initial_outputs.npy,.npy,368,0.000351,pass
Week_01/Function_04/03_Data/initial_outputs.npy,.npy,368,0.000351,pass
Week_06/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,368,0.000351,pass
Week_06/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,368,0.000351,pass
Week_11/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,368,0.000351,pass
Week_11/Function_06/03_Data/function_6_outputs.npy,.npy,368,0.000351,pass
Week_11/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,368,0.000351,pass
Week_11/Function_05/03_Data/function_5_outputs.npy,.npy,368,0.000351,pass
Week_10/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,360,0.000343,pass
Week_10/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,360,0.000343,pass
Week_09/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,352,0.000336,pass
Week_09/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,352,0.000336,pass
Week_05/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,352,0.000336,pass
Week_05/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,352,0.000336,pass
Week_08/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,344,0.000328,pass
Week_08/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,344,0.000328,pass
Week_13/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,344,0.000328,pass
Week_07/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,336,0.00032,pass
Week_07/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,336,0.00032,pass
Week_12/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,336,0.00032,pass
Week_04/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,336,0.00032,pass
Week_04/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,336,0.00032,pass
Week_06/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,328,0.000313,pass
Week_06/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,328,0.000313,pass
Week_11/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,328,0.000313,pass
Week_11/Function_03/03_Data/function_3_outputs.npy,.npy,328,0.000313,pass
Week_05/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,320,0.000305,pass
Week_05/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,320,0.000305,pass
Week_03/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,320,0.000305,pass
Week_03/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,320,0.000305,pass
Week_10/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,320,0.000305,pass
Week_09/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,312,0.000298,pass
Week_04/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,312,0.000298,pass
Week_04/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,312,0.000298,pass
Week_01/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,304,0.00029,pass
Week_01/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,304,0.00029,pass
Week_08/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,304,0.00029,pass
Week_13/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,304,0.00029,pass
Week_13/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,304,0.00029,pass
Week_02/Function_01/03_Data/verified_cumulative_inputs.npy,.npy,304,0.00029,pass
Week_02/Function_02/03_Data/verified_cumulative_inputs.npy,.npy,304,0.00029,pass
Week_03/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,304,0.00029,pass
Week_03/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,304,0.00029,pass
Week_01/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_01/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_07/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_12/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_12/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_02/Function_06/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_02/Function_05/03_Data/verified_cumulative_outputs.npy,.npy,296,0.000282,pass
Week_01/Function_06/03_Data/initial_outputs.npy,.npy,288,0.000275,pass
Week_01/Function_01/03_Data/initial_inputs.npy,.npy,288,0.000275,pass
Week_01/Function_02/03_Data/initial_inputs.npy,.npy,288,0.000275,pass
Week_01/Function_05/03_Data/initial_outputs.npy,.npy,288,0.000275,pass
Week_06/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,288,0.000275,pass
Week_11/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,288,0.000275,pass
Week_11/Function_01/03_Data/function_1_outputs.npy,.npy,288,0.000275,pass
Week_11/Function_02/03_Data/function_2_outputs.npy,.npy,288,0.000275,pass
Week_11/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,288,0.000275,pass
Week_05/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,280,0.000267,pass
Week_10/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,280,0.000267,pass
Week_10/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,280,0.000267,pass
Week_09/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,272,0.000259,pass
Week_09/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,272,0.000259,pass
Week_04/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,272,0.000259,pass
Week_08/Function_01/03_Data/verified_cumulative_outputs.npy,.npy,264,0.000252,pass
Week_08/Function_02/03_Data/verified_cumulative_outputs.npy,.npy,264,0.000252,pass
Week_03/Function_03/03_Data/verified_cumulative_outputs.npy,.npy,264,0.000252,pass
