function,dimensions,observation_count,bound_profile,candidate_scheme,candidate_count,strategy,kappa,xi,query,submission_query,predicted_mean,predictive_std,acquisition_score,fitted_kernel,duplicate_at_6dp,experiment_status
2,2,21,wide,uniform_random,20000,ucb_kappa_1,1.0,,"[0.690877,0.0091]",0.690877-0.009100,0.6134994509992469,0.052920115501548404,0.6664195665007953,"1.02**2 * Matern(length_scale=[0.0487, 10], nu=2.5) + WhiteKernel(noise_level=0.027)",False,sensitivity_only_not_submitted
2,2,21,wide,uniform_random,20000,ucb_kappa_2,2.0,,"[0.688117,0.049569]",0.688117-0.049569,0.6116770898918154,0.054157145128381434,0.7199913801485782,"1.02**2 * Matern(length_scale=[0.0487, 10], nu=2.5) + WhiteKernel(noise_level=0.027)",False,sensitivity_only_not_submitted
2,2,21,wide,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.690877,0.0091]",0.690877-0.009100,0.6134994509992469,0.052920115501548404,0.017482610375960352,"1.02**2 * Matern(length_scale=[0.0487, 10], nu=2.5) + WhiteKernel(noise_level=0.027)",False,sensitivity_only_not_submitted
3,3,26,standard,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.692461,0.619465,0.369096]",0.692461-0.619465-0.369096,-0.022497338759958838,0.03282708470552539,-0.019214630289406297,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",False,sensitivity_only_not_submitted
3,3,26,standard,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.970115,0.956272,0.41614]",0.970115-0.956272-0.416140,-0.030707590579884633,0.06999546605938413,0.004290142449807431,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",False,sensitivity_only_not_submitted
3,3,26,standard,uniform_random,20000,ucb_kappa_1,1.0,,"[0.970115,0.956272,0.41614]",0.970115-0.956272-0.416140,-0.030707590579884633,0.06999546605938413,0.039287875479499496,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",False,sensitivity_only_not_submitted
3,3,26,standard,uniform_random,20000,ucb_kappa_2,2.0,,"[0.989511,0.934728,0.408177]",0.989511-0.934728-0.408177,-0.032480511718206595,0.07171866638007972,0.11095682104195284,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",False,sensitivity_only_not_submitted
3,3,26,standard,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.970115,0.956272,0.41614]",0.970115-0.956272-0.416140,-0.030707590579884633,0.06999546605938413,0.025086225155920155,"1.39**2 * Matern(length_scale=[0.496, 2, 0.139], nu=2.5) + WhiteKernel(noise_level=0.00197)",False,sensitivity_only_not_submitted
3,3,26,wide,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.556324,0.626893,0.03165]",0.556324-0.626893-0.031650,-0.02736085953000751,0.03232189616287844,-0.024128669913719668,"1.22**2 * Matern(length_scale=[0.24, 10, 0.0989], nu=2.5) + WhiteKernel(noise_level=9.97e-07)",False,sensitivity_only_not_submitted
3,3,26,wide,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.550119,0.690572,0.005291]",0.550119-0.690572-0.005291,-0.03360652833304643,0.051583166395173505,-0.007814945135459675,"1.22**2 * Matern(length_scale=[0.24, 10, 0.0989], nu=2.5) + WhiteKernel(noise_level=9.97e-07)",False,sensitivity_only_not_submitted
