function,submission_query_kappa_2.0,predicted_mean_kappa_2.0,predictive_std_kappa_2.0,ucb_score_kappa_2.0,submission_query_kappa_0.1,predicted_mean_kappa_0.1,predictive_std_kappa_0.1,ucb_score_kappa_0.1
1,0.985530-0.508068,1.902378988551329e-05,0.000892475461017,0.0018039747119196,0.997914-0.748997,0.0003154466412814426,0.00028435016427503216,0.00034388165770894583
2,0.698570-0.005967,0.5822186636678323,0.0888710725463167,0.7599608087604658,0.692504-0.619197,0.623212953367297,0.048198509896123204,0.6280328043569093
3,0.972188-0.997743-0.391105,-0.0336278534632379,0.0712838329639088,0.1089398124645797,0.737864-0.713915-0.373523,-0.023233332638906326,0.041326881422783034,-0.019100644496628023
4,0.370439-0.382409-0.425133-0.390888,-1.3525646577023966,0.5448673091288657,-0.2628300394446652,0.370439-0.382408-0.425132-0.390887,-1.3525659130832839,0.5448668117833719,-1.2980792319049468
5,0.874157-0.993155-0.978150-0.979670,1647.8596757277212,307.05122060293763,2261.9621169335965,0.099220-0.956522-0.978677-0.993261,1831.1348367012977,165.074216846251,1847.6422583859228
6,0.004840-0.033276-0.614036-0.992733-0.018278,-0.8120139529701528,0.4369651000909466,0.0619162472117404,0.542093-0.205654-0.578843-0.946831-0.036709,-0.47808087568747304,0.1396624163563535,-0.46411463405183767
7,0.087492-0.296104-0.894458-0.260860-0.263170-0.806628,1.9506744894347163,0.2148781276331362,2.380430744700989,0.108716-0.301228-0.470084-0.228030-0.331783-0.836497,2.1004456574888284,0.11319193099008601,2.111764850587837
8,0.047423-0.249478-0.266938-0.124120-0.525139-0.625310-0.069902-0.963405,9.77374191528734,0.2596037358472101,10.29294938698176,0.123374-0.097970-0.065526-0.059094-0.757316-0.290599-0.242285-0.654268,9.949808112654114,0.12393410723826656,9.96220152337794
