Week,Function,Dimensions,Observation count,Previous best,New observation,New best,Improvement,Fitted GP kernel,Predictive std at selected query,UCB score,Evidence status,Evidence note
5,F8,8,44,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,Week 5 return unavailable in the repository evidence.
6,F1,2,15,7.710875114502849e-16,7.651210225556565e-239,7.710875114502849e-16,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F2,2,15,0.6112052157614438,0.22078072799826579,0.6112052157614438,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F3,3,20,-0.034835313350078584,-0.05739710166867316,-0.034835313350078584,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F4,4,35,-1.9810750402526334,-17.92630659900679,-1.9810750402526334,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F5,4,25,1088.8596181962705,0.9401160531598542,1088.8596181962705,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F6,5,25,-0.7142649478202404,-2.5293691850310744,-0.7142649478202404,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F7,6,35,2.149905456773691,0.19078262729854223,2.149905456773691,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
6,F8,8,45,9.9399041910574,9.1386093133071,9.9399041910574,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
7,F1,2,15,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F2,2,15,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F3,3,20,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F4,4,35,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F5,4,25,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F6,5,25,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F7,6,35,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
7,F8,8,45,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,Week 7 return unavailable in the repository evidence.
8,F1,2,15,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F2,2,15,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F3,3,20,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F4,4,35,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F5,4,25,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F6,5,25,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F7,6,35,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
8,F8,8,45,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,Week 8 return unavailable in the repository evidence.
9,F1,2,16,7.710875114502849e-16,-3.089423814911752e-96,7.710875114502849e-16,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F2,2,16,0.6112052157614438,0.04940646022261656,0.6112052157614438,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F3,3,21,-0.034835313350078584,-0.08189344986566433,-0.034835313350078584,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F4,4,36,-1.9810750402526334,-23.42280313862202,-1.9810750402526334,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F5,4,26,1088.8596181962705,430.8031249775375,1088.8596181962705,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F6,5,26,-0.7142649478202404,-1.1717131510084098,-0.7142649478202404,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
