week,function,query,returned_output,dataset_version,submission_date,notebook,commit_sha,evidence_status,source_registry
3,6,"[0.49507,0.097152,0.672921,7e-06,0.351268]",-1.339542402620705,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
3,7,"[0.143585,0.302559,0.571101,0.194533,0.395561,0.815792]",2.149905456773691,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
3,8,"[0.088894,0.525132,0.030986,0.992538,0.870819,0.21706,0.011239,0.447691]",8.9636037557014,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,1,"[0.872626,0.321598]",-2.4666412561217706e-107,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,2,"[0.197553,0.808683]",0.038774938576018964,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,3,"[0.650132,0.218327,0.110542]",-0.08251349582236739,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,4,"[0.715715,0.504442,0.275065,0.552962]",-9.312811809021998,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,5,"[0.0,0.0,0.0,0.0]",163.1225,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,6,"[0.973181,0.022807,0.714484,0.145453,0.97479]",-2.4375082517089726,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,7,"[0.045103,0.016167,0.773003,0.156031,0.147073,0.616114]",1.2087334449610816,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
4,8,"[0.356502,0.157574,0.172997,0.610561,0.106477,0.260297,0.411421,0.90474]",9.2540644925525,verified-query-output-ledger-v1.0,,Week_05/02_Notebook/Week_5_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,1,"[0.897714,0.081699]",7.651210225556565e-239,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,2,"[0.555332,0.360931]",0.22078072799826579,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,3,"[0.522231,0.090709,0.451742]",-0.05739710166867316,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,4,"[0.713766,0.198601,0.014095,0.068347]",-17.92630659900679,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,5,"[0.754614,0.504566,0.432986,0.307039]",0.9401160531598542,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,6,"[0.824244,0.022732,0.960907,0.041715,0.89756]",-2.5293691850310744,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,7,"[0.052337,0.910075,0.72779,0.075231,0.386516,0.492629]",0.19078262729854223,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
6,8,"[0.110992,0.462977,0.255313,0.963757,0.895383,0.716713,0.030436,0.083412]",9.1386093133071,verified-query-output-ledger-v1.0,,Week_09/02_Notebook/Week_9_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,1,"[0.42141,0.935804]",-3.089423814911752e-96,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,2,"[0.995366,0.102732]",0.04940646022261656,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,3,"[0.449035,0.664262,0.290384]",-0.08189344986566433,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,4,"[0.889493,0.002958,0.445975,0.774547]",-23.42280313862202,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,5,"[0.319924,0.675406,0.431628,1.0]",430.8031249775375,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,6,"[0.711755,0.17567,0.738396,0.689597,0.562717]",-1.1717131510084098,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,7,"[0.018603,0.530937,0.376818,0.094048,0.443567,0.614974]",1.009840334573839,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
9,8,"[0.321258,0.232284,0.021301,0.0,0.895967,0.249315,0.054463,0.073967]",9.6998918101966,verified-query-output-ledger-v1.0,,Week_10/02_Notebook/Week_10_Capstone.ipynb,18b008567a3d283d854f36e260c77e06e3721aa9,verified_exact_pair,Code/weekly_evidence.py
