week,function,query,returned_output,dataset_version,submission_date,date_basis,notebook,commit_sha,evidence_status,source_registry,source_input,source_output,source_input_sha256,source_output_sha256,duplicate_of
2,3,"[0.657452,0.998464,0.817253]",-0.08987474979637637,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
2,4,"[0.00628,0.28184,0.932013,0.960202]",-31.73535839431216,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
2,5,"[0.255841,0.841692,0.888984,0.86026]",1035.6341457754475,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
2,6,"[0.433654,0.486678,0.282753,0.972905,0.323321]",-0.8782405650300305,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
2,7,"[0.243848,0.9001,0.696978,0.19363,0.374149,0.826324]",0.308765180253091,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
2,8,"[0.16316,0.184786,0.152644,0.083802,0.999322,0.544113,0.184124,0.123846]",9.9399041910574,verified-query-output-ledger-v1.1,2026-06-10,source_file_mtime; not platform submission timestamp,Week_02/02_Notebook/Week_2_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_02_data/week_02_inputs.txt,Capstone_Folder/week_02_data/week_02_outputs.txt,79c9ad095d46106271e0a70fa5a117be7b317b28c4d82cf989c7bdc9bfd341a8,c3690c263390c859362173679c353a9784588a08dfc2733a3969688a2229a558,
3,1,"[0.614168,0.334143]",-1.0755942664604116e-32,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,2,"[6e-06,0.334143]",0.04868370128566149,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,3,"[0.670026,0.057881,0.658241]",-0.18323876643005035,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,4,"[0.394519,0.361122,0.256803,0.461856]",-1.9810750402526334,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,5,"[0.255842,0.841692,0.888985,0.860266]",1035.6647479285914,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,6,"[0.49507,0.097152,0.672921,7e-06,0.351268]",-1.339542402620705,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,7,"[0.143585,0.302559,0.571101,0.194533,0.395561,0.815792]",2.149905456773691,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
3,8,"[0.088894,0.525132,0.030986,0.992538,0.870819,0.21706,0.011239,0.447691]",8.9636037557014,verified-query-output-ledger-v1.1,2026-06-15,source_file_mtime; not platform submission timestamp,Week_03/02_Notebook/Week_3_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_03_data/week_03_inputs.txt,Capstone_Folder/week_03_data/week_03_outputs.txt,04128361c8d70947d6aac16aa790266887367c532921502d635c83e7488e3bef,2a5029ed367c910c28ca1c9f01c1d09815c2792c74b23ac784fb1eea05e82fcf,
4,1,"[0.872626,0.321598]",-2.4666412561217706e-107,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,2,"[0.197553,0.808683]",0.038774938576018964,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,3,"[0.650132,0.218327,0.110542]",-0.08251349582236739,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,4,"[0.715715,0.504442,0.275065,0.552962]",-9.312811809021998,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,5,"[0.0,0.0,0.0,0.0]",163.1225,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,6,"[0.973181,0.022807,0.714484,0.145453,0.97479]",-2.4375082517089726,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,7,"[0.045103,0.016167,0.773003,0.156031,0.147073,0.616114]",1.2087334449610816,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
4,8,"[0.356502,0.157574,0.172997,0.610561,0.106477,0.260297,0.411421,0.90474]",9.2540644925525,verified-query-output-ledger-v1.1,2026-06-22,source_file_mtime; not platform submission timestamp,Week_04/02_Notebook/Week_4_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_04_data/Week_04_inputs.txt,Capstone_Folder/week_04_data/Week_04_outputs.txt,4d1a1a16b1ea24f4ac0ae301628333273cc06fb90a4be69fd2353b981a2884bb,b35395b98586465c8855806dd43dbc3a449edab716320902ddb8898e3f698bb2,
5,1,"[0.897714,0.081699]",7.6512102255565565e-239,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,2,"[0.555332,0.360931]",0.22078072799826579,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,3,"[0.522711,0.090769,0.451242]",-0.05739710166867316,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,4,"[0.713766,0.198601,0.014095,0.068347]",-17.92630659900679,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,5,"[0.754614,0.504566,0.432986,0.307039]",0.9401160531598542,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,6,"[0.824244,0.022732,0.960907,0.041715,0.89756]",-2.5293691850310744,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,7,"[0.025337,0.910075,0.72779,0.075231,0.386516,0.492629]",0.19078262729854223,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
5,8,"[0.110992,0.022977,0.255313,0.963757,0.895383,0.716713,0.030436,0.083412]",9.1386093113071,verified-query-output-ledger-v1.1,2026-06-29,source_file_mtime; not platform submission timestamp,Week_05/02_Notebook/Week_5_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_05_data/Week_05_inputs.txt,Capstone_Folder/week_05_data/Week_05_outputs.txt,d23929f2ba5e16bcdb88b113e235ec6f7624363da89e4d22180fbebc896bdbca,e6428d4c235b0eb0345028326c84c30575f280abbdc41b2492ba4578795366de,
6,1,"[0.222521,0.999673]",6.131855211153796e-211,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,2,"[0.473151,0.950706]",0.16053152307795218,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,3,"[0.418776,0.420613,0.695421]",-0.11700517654347184,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,4,"[0.753422,0.441826,0.942545,0.489846]",-20.879363209082445,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,5,"[0.654981,0.602894,0.898891,0.589622]",281.9115728306016,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,6,"[0.78177,0.192076,0.805757,0.695733,0.56594]",-1.3125396070217887,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
6,7,"[0.042873,0.466831,0.379623,0.20709,0.367754,0.515646]",1.611967464642638,verified-query-output-ledger-v1.1,2026-07-06,source_file_mtime; not platform submission timestamp,Week_06/02_Notebook/Week_6_Capstone.ipynb,,verified_cumulative_archive_pair,Results/query_output_ledger.csv,Capstone_Folder/week_06_data/week_06_inputs.txt,Capstone_Folder/week_06_data/week_06_outputs.txt,192e607ec1aeb083dece9c099bd784be8a9abfc74cace9c50fdd059b2f44037d,7d5d24b375a87fcfe85943cbbddf711b61d87680f61e67ac58810baac47c5ad0,
